,mean,sd,hdi_3%,hdi_97%
N,355.594,4.366,347.387,363.72
alpha_pred[0],-2.543,0.003,-2.549,-2.536
alpha_pred[1],-2.542,0.011,-2.562,-2.523
alpha_pred[2],-2.539,0.011,-2.561,-2.52
alpha_pred[3],-2.559,0.05,-2.652,-2.467
alpha_pred[4],-2.54,0.071,-2.662,-2.415
alpha_pred[5],-2.578,0.024,-2.623,-2.534
r,77.416,0.942,75.639,79.158
sigma,0.095,0.006,0.084,0.106
x_centre[0],79.738,0.671,78.478,80.977
x_centre[1],79.931,0.763,78.488,81.344
x_centre[2],79.874,0.116,79.658,80.095
x_centre[3],81.415,3.521,74.83,87.926
x_centre[4],80.624,5.083,72.26,89.861
x_centre[5],83.183,1.262,80.813,85.551
y_centre[0],136.115,0.694,134.792,137.383
y_centre[1],135.789,0.887,134.132,137.453
y_centre[2],135.779,0.956,133.956,137.528
y_centre[3],136.089,1.339,133.578,138.601
y_centre[4],135.428,2.032,131.39,138.751
y_centre[5],136.477,0.996,134.651,138.367
