,mean,sd,hdi_3%,hdi_97%
N,355.278,1.381,352.652,357.848
alpha_pred[0],-2.543,0.001,-2.545,-2.541
alpha_pred[1],-2.542,0.003,-2.549,-2.536
alpha_pred[2],-2.54,0.003,-2.547,-2.534
alpha_pred[3],-2.56,0.016,-2.591,-2.532
alpha_pred[4],-2.554,0.033,-2.619,-2.492
alpha_pred[5],-2.58,0.007,-2.594,-2.566
r,77.345,0.282,76.809,77.874
sigma_r,0.029,0.003,0.024,0.033
sigma_t,0.13,0.011,0.11,0.151
x_centre[0],79.695,0.201,79.304,80.062
x_centre[1],79.91,0.229,79.482,80.346
x_centre[2],79.863,0.035,79.797,79.927
x_centre[3],81.436,1.106,79.345,83.512
x_centre[4],81.563,2.428,77.046,86.297
x_centre[5],83.22,0.387,82.473,83.931
y_centre[0],136.038,0.207,135.64,136.426
y_centre[1],135.723,0.268,135.22,136.231
y_centre[2],135.716,0.286,135.165,136.247
y_centre[3],136.102,0.405,135.347,136.869
y_centre[4],135.822,0.843,134.208,137.383
y_centre[5],136.428,0.299,135.843,136.966
