,Mean,std,Median,5%,95%
N,355.270625369328,1.3925873818524677,355.270625369328,353.00366876368776,357.54928188730986
r,77.34568626962474,0.2841961496341607,77.34568626962474,76.88016139353607,77.81063673394412
sigma_r,0.028451576844107575,0.0024978129288639635,0.028451576844107575,0.024728623449425922,0.0328328721799533
sigma_t,0.12946710794901045,0.01086277399370069,0.12946710794901045,0.11293310784553987,0.14827144943531226
phase_1,-2.5255908496648853,0.001063486854561355,-2.5255908496648853,-2.527326804721821,-2.5238295615035007
phase_2,-2.135694767413642,0.0027633790960635454,-2.135694767413642,-2.140193889113615,-2.1311587662004574
phase_3,-1.9741248129996565,0.0013214602885060962,-1.9741248129996565,-1.9763203372821994,-1.971973788824776
phase_4,-1.3224237807535577,0.014941140396683726,-1.3224237807535577,-1.346764042100971,-1.2978554458564622
phase_5,-1.2638941103083234,0.0322999543222977,-1.2638941103083234,-1.3173231435947854,-1.2101648162740437
phase_6,-1.253068936792948,0.0052201438217307945,-1.253068936792948,-1.261624941289595,-1.2445596565193293
x_01,79.69454071497394,0.20210599954757422,79.69454071497394,79.36486666459896,80.027614604761
x_02,79.91404744971233,0.22955723591198915,79.91404744971233,79.53570743175835,80.2888602813988
x_03,79.85963364371648,0.03530276165929501,79.85963364371648,79.80137834346303,79.9177641822765
x_04,81.44050551039712,1.1153500685930002,81.44050551039712,79.60325211596134,83.26273052293104
x_05,81.61279793314651,2.3751907865915123,81.61279793314651,77.71204781652996,85.56999962973366
x_06,83.21342843567855,0.38699955642250744,83.21342843567855,82.58130934404862,83.8502480679856
y_01,136.03858952161286,0.20939116366366498,136.03858952161286,135.6978687229283,136.38684362015255
y_02,135.721628719649,0.26824678097948407,135.721628719649,135.28062339266745,136.16322552612925
y_03,135.71586211238397,0.28821157885592696,135.71586211238397,135.24519607546333,136.18710058787707
y_04,136.10293711310283,0.40790539285841526,136.10293711310283,135.4305207449647,136.77060459329493
y_05,135.84108622991528,0.8214287381623606,135.84108622991528,134.42652558216616,137.13269042021952
y_06,136.42585572875643,0.3026152572394537,136.42585572875643,135.9321019954242,136.93460604377987
